LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)	px(MeV)	py(MeV)	pz(MeV)
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.88	0.208221	90000	7.52528e+06	1.30644e+06	150.839	-7.41112e+06
1	3525.76	0.407302	80000	7.50461e+06	1.3029e+06	214.873	-7.39076e+06
2	5288.67	0.553092	70000	7.41928e+06	1.2881e+06	23.3648	-7.30671e+06
3	7051.33	0.524441	60000	7.3932e+06	1.28321e+06	-68.7337	-7.2811e+06
4	8813.69	0.46503	50000	7.267e+06	1.26125e+06	5.69576	-7.15682e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.77	0.129255	90000	7.55493e+06	1.31149e+06	155.696	-7.44033e+06
1	3525.49	0.442363	80000	7.53853e+06	1.30868e+06	278.29	-7.42417e+06
2	5288.25	0.758689	70000	7.4931e+06	1.30093e+06	271.149	-7.37942e+06
3	7051.14	1.07593	60000	7.32105e+06	1.27099e+06	165.664	-7.20999e+06
4	8813.98	1.17691	50000	7.26916e+06	1.26205e+06	-12.7195	-7.15887e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.57	0.124125	90000	7.49335e+06	1.30076e+06	142.862	-7.37969e+06
1	3525.04	0.290682	80000	7.47885e+06	1.29807e+06	132.359	-7.36545e+06
2	5287.32	0.582767	70000	7.41944e+06	1.28771e+06	352.149	-7.30695e+06
3	7049.37	1.13584	60000	7.4111e+06	1.28599e+06	463.249	-7.29878e+06
4	8811.63	1.56717	50000	7.39873e+06	1.28421e+06	262.556	-7.28653e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.8	0.0990193	90000	7.46465e+06	1.29598e+06	-85.4251	-7.3514e+06
1	3525.64	0.0193238	80000	7.45158e+06	1.29361e+06	83.9993	-7.33854e+06
2	5288.55	0.249624	70000	7.44448e+06	1.29264e+06	263.357	-7.3315e+06
3	7051.41	0.697611	60000	7.39494e+06	1.28374e+06	440.737	-7.28277e+06
4	8814.02	1.36409	50000	7.37397e+06	1.28006e+06	420.626	-7.26212e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
19	0	0	-100000	0	0	0	0
0	1762.83	-0.0122178	90000	7.55181e+06	1.31097e+06	68.9478	-7.43725e+06
1	3525.47	0.0703332	80000	7.52366e+06	1.30606e+06	75.8111	-7.40954e+06
2	5287.95	0.145826	70000	7.47333e+06	1.29703e+06	43.5585	-7.36002e+06
3	7050.29	0.265432	60000	7.3631e+06	1.27804e+06	55.5841	-7.25144e+06
4	8812.8	0.462622	50000	7.34464e+06	1.27484e+06	338.085	-7.23326e+06
5	0	0	40000	0	0	0	0
6	0	0	30000	0	0	0	0
7	0	0	20000	0	0	0	0
8	0	0	10000	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	-10000	0	0	0	0
11	0	0	-20000	0	0	0	0
12	0	0	-30000	0	0	0	0
13	0	0	-40000	0	0	0	0
14	0	0	-50000	0	0	0	0
15	0	0	-60000	0	0	0	0
16	0	0	-70000	0	0	0	0
17	0	0	-80000	0	0	0	0
18	0	0	-90000	0	0	0	0
