LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
1	-95.8378	-10.517	60000	65021.4
2	-208.572	-16.2372	40000	52857.1
3	-369.91	-54.3691	20000	40287.5
4	-535.082	-265.78	0	28386.3
5	-733.872	-868.986	-20000	16367.8
6	-1131.91	-1155.14	-40000	3910.16
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	28.2771	-28.7764	80000	73300.1
1	24.0482	-34.5513	60000	59298.9
2	-2.95443	107.995	40000	46326.9
3	-124.805	334.214	20000	34330.5
4	-227.589	496.77	0	22595.1
5	-332.351	523.184	-20000	10212.8
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	27.1962	-20.3142	80000	75373.9
1	143.286	-76.2946	60000	62907.6
2	319.945	-180.394	40000	51499.4
3	622.467	-249.315	20000	31831.8
4	817.255	-364.703	0	19929.7
5	1027.64	-650.383	-20000	7123.89
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-12.3452	45.9449	80000	76209.8
1	20.1369	125.449	60000	64652.7
2	134.545	271.722	40000	52751.6
3	239.1	520.538	20000	40888.8
4	319.632	819.272	0	29967.4
5	120.771	1120.66	-20000	17549.9
6	254.528	1308.72	-40000	6815.05
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	23.5908	-65.051	80000	72615.5
1	99.0957	-183.88	60000	61622.1
2	230.566	-353.449	40000	50615.1
3	325.576	-539.857	20000	35507.2
4	327.968	-694.609	0	24355
5	202.382	-874.474	-20000	13539.1
6	59.4503	-705.681	-40000	3011.29
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-18.5906	3.46939	80000	75230.1
1	21.6	-4.17674	60000	63992.6
2	145.778	-4.4518	40000	39818.5
3	370.887	18.168	20000	28918.4
4	760.592	225.551	0	15402.9
5	1070.4	379.892	-20000	4359.18
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-25.3949	4.97094	80000	75176.4
1	-71.6207	24.194	60000	62618.8
2	-95.3711	88.0299	40000	48337.2
3	-192.348	236.555	20000	36172.7
4	-370.538	396.576	0	23916.2
5	-441.192	647.38	-20000	13527.6
6	-355.578	807.381	-40000	2749.35
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-31.3624	34.2199	80000	73324.7
1	-69.2813	132.161	60000	62013.3
2	-67.5616	194.672	40000	49958
3	76.9933	335.176	20000	35934.2
4	284.122	500.815	0	22807
5	591.226	855.24	-20000	11864.4
6	1305.99	2063.64	-40000	1293.45
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	6.72999	36.9004	80000	69935.3
1	-8.15028	97.0318	60000	57683.9
2	-51.1705	101.643	40000	46095.4
3	-50.8051	-42.8488	20000	32245.7
4	128.425	-223.702	0	21067.3
5	530.467	-504.872	-20000	8571.83
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-0.611838	7.43195	80000	74700.3
1	-15.6439	1.21546	60000	62823
2	-8.23392	-30.7194	40000	51859.8
3	66.8958	3.62661	20000	40514.2
4	148.959	119.276	0	27853.4
5	320.313	221.48	-20000	15666.1
6	466.241	277.844	-40000	2204.13
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-18.5828	8.40937	80000	74971
1	9.48696	-31.7347	60000	63956.7
2	56.0546	-55.7376	40000	49528.5
3	41.9641	10.3372	20000	37781.3
4	21.4273	192.446	0	26444.9
5	192.295	576.311	-20000	14239.3
6	354.251	1175	-40000	2152.67
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-60.6245	0.0736075	80000	75108.5
1	-159.496	-51.539	60000	60552.9
2	-325.019	-151.965	40000	45719.2
3	-545.864	-344.645	20000	31941
4	-608.643	-501.065	0	17381.3
5	-556.68	-741.535	-20000	5841.77
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	26.3121	-27.1992	80000	70224.7
1	138.257	-60.6922	60000	59160.7
2	321.813	-30.6688	40000	44258.8
3	550.086	58.687	20000	32983.4
4	784.316	328.835	0	22406.5
5	1142.39	551.842	-20000	11917.2
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-1.49896	4.38791	80000	75065.9
1	32.1693	82.8968	60000	64574
2	14.426	137.995	40000	52402.6
3	-199.559	142.031	20000	40950.3
4	-374.388	-45.7311	0	29957.5
5	-401.981	-247.842	-20000	18784.5
6	-184.249	-588.194	-40000	7537.62
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-3.87045	-17.1598	80000	73712.3
1	-7.92112	9.63171	60000	60367.6
2	-131.682	53.8986	40000	43296.1
3	-234.509	132.344	20000	31663.5
4	-530.549	238.15	0	20474.6
5	-859.74	230.842	-20000	8954.7
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-27.6523	9.87994	80000	75916.2
1	-80.9674	42.48	60000	52592.8
2	-130.209	78.7417	40000	40822.7
3	-20.738	187.781	20000	30081.9
4	192.648	199.808	0	18871.6
5	368.062	288.622	-20000	8284.35
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-7.5052	-2.13994	80000	71762.7
1	-53.297	3.04082	60000	57879.1
2	-80.2854	-6.65356	40000	46254.1
